eco,name,pgn,move,color,fen,master,lichess,white,draws,black
C29,Vienna Game: Vienna Gambit,1. e4 e5 2. Nc3 Nf6 3. f4,5,white,rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 3,BfvmTiCI,hhFm9jIA,1910784,150260,1462130
B00,Duras Gambit,1. e4 f5,2,black,rnbqkbnr/ppppp1pp/8/5p2/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,VmfZ1Dr1,,1623273,108134,1451592
C51,Italian Game: Evans Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4,7,white,r1bqk1nr/pppp1ppp/2n5/2b1p3/1PB1P3/5N2/P1PP1PPP/RNBQK2R b KQkq - 0 4,oVs5EH8m,,1553341,102712,1353021
C42,Russian Game: Stafford Gambit,1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nc6,6,black,r1bqkb1r/pppp1ppp/2n2n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R w KQkq - 1 4,YiHFyvbB,7SlopDFV,1408095,116413,1405251
D00,"Queen's Pawn Game: Accelerated London System, Steinitz Countergambit",1. d4 d5 2. Bf4 c5,4,black,rnbqkbnr/pp2pppp/8/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,JwXG9PMO,,1361930,150012,1339352
C44,Scotch Game: Göring Gambit,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3,7,white,r1bqkbnr/pppp1ppp/2n5/8/3pP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4,jWGBdoe3,,1540332,114048,1190270
C40,Elephant Gambit: Paulsen Countergambit,1. e4 e5 2. Nf3 d5 3. exd5 e4,6,black,rnbqkbnr/ppp2ppp/8/3P4/4p3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,tP3tbihG,cuGhEiKs,1236499,112776,1435978
A05,Zukertort Opening: Lemberger Gambit,1. Nf3 Nf6 2. e4,3,white,rnbqkb1r/pppppppp/5n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,5QlIserA,NGmX0StH,1221098,105193,1437217
A00,Grob Opening: Grob Gambit,1. g4 d5 2. Bg2,3,white,rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq - 1 2,nB5jSck0,,1305916,94867,1128827
C42,Russian Game: Stafford Gambit,1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nc6 4. Nxc6 dxc6,8,black,r1bqkb1r/ppp2ppp/2p2n2/8/4P3/8/PPPP1PPP/RNBQKB1R w KQkq - 0 5,wFXOqTj4,7SlopDFV,1136519,93519,1182046
