eco,name,pgn,move,color,fen,master,lichess,white,draws,black
A04,Zukertort Opening: Herrstrom Gambit,1. Nf3 g5,2,black,rnbqkbnr/pppppp1p/8/6p1/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,OwvNi7lU,mzMkoIHq,227457,19209,235756
C00,French Defense: Orthoschnapp Gambit,1. e4 e6 2. c4 d5 3. cxd5 exd5 4. Qb3,7,white,rnbqkbnr/ppp2ppp/8/3p4/4P3/1Q6/PP1P1PPP/RNB1KBNR b KQkq - 1 4,VBn1pUVy,el9MQGVz,258736,18670,203778
A83,Dutch Defense: Staunton Gambit,1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5,7,white,rnbqkb1r/ppppp1pp/5n2/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR b KQkq - 3 4,tTZr7mSm,cDScoYJ5,244621,25816,187801
A83,"Dutch Defense: Staunton Gambit, Lasker Variation",1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5,7,white,rnbqkb1r/ppppp1pp/5n2/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR b KQkq - 3 4,tTZr7mSm,cDScoYJ5,244621,25816,187801
C40,King's Pawn Game: Gunderam Gambit,1. e4 e5 2. Nf3 c6,4,black,rnbqkbnr/pp1p1ppp/2p5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,KFXwWXhP,xJf2zOHN,238866,17701,196403
A00,Polish Opening: Birmingham Gambit,1. b4 c5,2,black,rnbqkbnr/pp1ppppp/8/2p5/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2,BrihoIp4,8qQOAUDh,226280,16008,209993
C40,Latvian Gambit: Mason Countergambit,1. e4 e5 2. Nf3 f5 3. d4,5,white,rnbqkbnr/pppp2pp/8/4pp2/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,q89OnKSL,,206364,14711,205454
C23,Bishop's Opening: Calabrese Countergambit,1. e4 e5 2. Bc4 f5,4,black,rnbqkbnr/pppp2pp/8/4pp2/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 3,DzBU7fwV,,202080,13209,208202
C41,Philidor Defense: Bird Gambit,1. e4 e5 2. Nf3 d6 3. d4 exd4 4. c3,7,white,rnbqkbnr/ppp2ppp/3p4/8/3pP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4,pEXB5TL5,bkyDx7J1,233347,16314,171113
B15,Caro-Kann Defense: von Hennig Gambit,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Bc4,7,white,rnbqkbnr/pp2pppp/2p5/8/2BPp3/2N5/PPP2PPP/R1BQK1NR b KQkq - 1 4,FBrhctHM,Q8vVDR8g,225406,16380,165356
C37,King's Gambit Accepted: Rosentreter Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. d4,7,white,rnbqkbnr/pppp1p1p/8/6p1/3PPp2/5N2/PPP3PP/RNBQKB1R b KQkq - 0 4,4OOofMO6,xl2xIuuN,184580,12430,204913
A40,Englund Gambit Complex: Zilbermints Gambit,1. d4 e5 2. dxe5 Nc6 3. Nf3 Nge7,6,black,r1bqkb1r/ppppnppp/2n5/4P3/8/5N2/PPP1PPPP/RNBQKB1R w KQkq - 3 4,,,200068,18680,181869
D07,"Queen's Gambit Declined: Chigorin Defense, Modern Gambit",1. d4 d5 2. c4 Nc6 3. Nc3 dxc4 4. Nf3 Nf6,8,black,r1bqkb1r/ppp1pppp/2n2n2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,ICRcUXRb,dT0MBSpM,228226,16400,155912
A04,Zukertort Opening: Speelsmet Gambit,1. Nf3 c5 2. d4 cxd4 3. e3,5,white,rnbqkbnr/pp1ppppp/8/8/3p4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,,,175969,16588,192353
C41,Philidor Defense: Philidor Countergambit,1. e4 e5 2. Nf3 d6 3. d4 f5,6,black,rnbqkbnr/ppp3pp/3p4/4pp2/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,ptN3buw2,Qcn9iVD2,186294,13049,177166
C15,"French Defense: Winawer Variation, Alekhine-Maróczy Gambit",1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. Ne2,7,white,rnbqk1nr/ppp2ppp/4p3/3p4/1b1PP3/2N5/PPP1NPPP/R1BQKB1R b KQkq - 3 4,DAJ7MZtG,,193582,23209,152903
A04,Zukertort Opening: Lisitsyn Gambit,1. Nf3 f5 2. e4,3,white,rnbqkbnr/ppppp1pp/8/5p2/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,42hGiTso,9P52tHG6,182758,12441,173561
C39,King's Gambit Accepted: Kieseritzky Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4 g4 5. Ne5,9,white,rnbqkbnr/pppp1p1p/8/4N3/4PppP/8/PPPP2P1/RNBQKB1R b KQkq - 1 5,SivhQWtT,LjLkP7QU,182404,12763,166927
A02,Bird Opening: Schlechter Gambit,1. f4 e5 2. fxe5 Nc6,4,black,r1bqkbnr/pppp1ppp/2n5/4P3/8/8/PPPPP1PP/RNBQKBNR w KQkq - 1 3,nyxw26xL,BGdLv7ES,181312,13353,167158
D00,Blackmar-Diemer Gambit: Lemberger Countergambit,1. d4 d5 2. e4 dxe4 3. Nc3 e5,6,black,rnbqkbnr/ppp2ppp/8/4p3/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,pAAkOSUM,bIxd4ZLw,161755,16520,174585
C42,Russian Game: Cochrane Gambit,1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nxf7,7,white,rnbqkb1r/ppp2Npp/3p1n2/8/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 4,LnGKRbex,VIqqYXkV,176598,13962,156577
A40,Borg Defense: Borg Gambit,1. d4 g5,2,black,rnbqkbnr/pppppp1p/8/6p1/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,,qAb58Fts,178569,10884,153928
A41,"Rat Defense: English Rat, Lisbon Gambit",1. d4 d6 2. c4 e5 3. dxe5 Nc6,6,black,r1bqkbnr/ppp2ppp/2np4/4P3/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 1 4,aCFTrS8O,lXCAdvsi,151831,11224,177243
C37,"King's Gambit Accepted: Muzio Gambit, Wild Muzio Gambit",1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 g4 5. O-O,9,white,rnbqkbnr/pppp1p1p/8/8/2B1Ppp1/5N2/PPPP2PP/RNBQ1RK1 b kq - 1 5,iNs71Tbl,,180047,9385,146425
D11,Slav Defense: Bonet Gambit,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Bg5,7,white,rnbqkb1r/pp2pppp/2p2n2/3p2B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq - 3 4,,SMFus1qd,158611,17772,157892
B12,Caro-Kann Defense: Ulysses Gambit,1. e4 c6 2. d4 d5 3. Nf3 dxe4 4. Ng5,7,white,rnbqkbnr/pp2pppp/2p5/6N1/3Pp3/8/PPP2PPP/RNBQKB1R b KQkq - 1 4,,,149984,12240,169142
C42,"Russian Game: Damiano Variation, Kholmov Gambit",1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nxe4 4. Qe2 Qe7,8,black,rnb1kb1r/ppppqppp/8/4N3/4n3/8/PPPPQPPP/RNB1KB1R w KQkq - 2 5,OsZNbMvN,,140405,24791,160244
C15,"French Defense: Winawer Variation, Winckelmann-Riemer Gambit",1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. a3,7,white,rnbqk1nr/ppp2ppp/4p3/3p4/1b1PP3/P1N5/1PP2PPP/R1BQKBNR b KQkq - 0 4,WXWnzMeh,wdMb07aT,163488,15174,142272
B21,"Bird Opening: Dutch Variation, Batavo Gambit",1. e4 c5 2. f4 d5 3. Nf3,5,white,rnbqkbnr/pp2pppp/8/2pp4/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,QzPbAQ8y,wrOWylPd,137245,11258,170351
B12,"Caro-Kann Defense: Maróczy Variation, Maróczy Gambit",1. e4 c6 2. d4 d5 3. f3 dxe4 4. fxe4 e5 5. Nf3 exd4 6. Bc4,11,white,rnbqkbnr/pp3ppp/2p5/8/2BpP3/5N2/PPP3PP/RNBQK2R b KQkq - 1 6,9hOPeT3V,0OPsMAI6,191492,11585,111809
B15,Caro-Kann Defense: Alekhine Gambit,1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Bd3,9,white,rnbqkb1r/pp2pppp/2p2n2/8/3PN3/3B4/PPP2PPP/R1BQK1NR b KQkq - 2 5,yWzhbTDB,,155666,16320,142453
C00,French Defense: Franco-Hiva Gambit,1. e4 e6 2. d4 f5,4,black,rnbqkbnr/pppp2pp/4p3/5p2/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,,Nj4JaULN,162144,12392,138074
C00,"French Defense: La Bourdonnais Variation, Reuter Gambit",1. e4 e6 2. f4 d5 3. Nf3,5,white,rnbqkbnr/ppp2ppp/4p3/3p4/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,MD7iPIdB,K5jCyFl9,139993,10170,159706
D32,Tarrasch Defense: Schara Gambit,1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 cxd4,8,black,rnbqkbnr/pp3ppp/4p3/3P4/3p4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5,PxrDpQaE,eDoizxDT,133686,15996,149538
A07,King's Indian Attack: Omega-Delta Gambit,1. Nf3 d5 2. g3 e5,4,black,rnbqkbnr/ppp2ppp/8/3pp3/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3,,,159723,12046,126196
B00,Borg Defense: Borg Gambit,1. e4 g5 2. d4 Bg7,4,black,rnbqk1nr/ppppppbp/8/6p1/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,v5oX1uiP,plD8oHRU,141749,9883,143332
C00,French Defense: Alapin Gambit,1. e4 e6 2. d4 d5 3. Be3,5,white,rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/4B3/PPP2PPP/RN1QKBNR b KQkq - 1 3,KH4TFyGp,,150187,11032,126243
C23,Bishop's Opening: Khan Gambit,1. e4 e5 2. Bc4 d5,4,black,rnbqkbnr/ppp2ppp/8/3pp3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 3,,yLyks5wB,135597,8835,140187
B06,"Modern Defense: Lizard Defense, Mittenberger Gambit",1. e4 g6 2. d4 Bg7 3. Nc3 d5,6,black,rnbqk1nr/ppp1ppbp/6p1/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,HQF9pxOs,gYP6l8kl,136046,14227,129619
B21,"Sicilian Defense: Morphy Gambit, Andreaschek Gambit",1. e4 c5 2. d4 cxd4 3. Nf3 e5 4. c3,7,white,rnbqkbnr/pp1p1ppp/8/4p3/3pP3/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 4,Y235Mmc3,4MTK09mD,147029,11345,121260
B21,"Sicilian Defense: McDonnell Attack, Tal Gambit",1. e4 c5 2. f4 d5 3. exd5 Nf6,6,black,rnbqkb1r/pp2pppp/5n2/2pP4/5P2/8/PPPP2PP/RNBQKBNR w KQkq - 1 4,NfpjMYsq,SyEVycdM,115724,12695,144528
C25,"Vienna Game: Stanley Variation, Meitner-Mieses Gambit",1. e4 e5 2. Nc3 Nc6 3. Bc4 Bc5 4. Qg4 Qf6 5. Nd5,9,white,r1b1k1nr/pppp1ppp/2n2q2/2bNp3/2B1P1Q1/8/PPPP1PPP/R1B1K1NR b KQkq - 7 5,E3S294oy,YQHgObS7,189419,6385,75939
C35,"King's Gambit Accepted: Cunningham Defense, Bertin Gambit",1. e4 e5 2. f4 exf4 3. Nf3 Be7 4. Bc4 Bh4+ 5. g3,9,white,rnbqk1nr/pppp1ppp/8/8/2B1Pp1b/5NP1/PPPP3P/RNBQK2R b KQkq - 0 5,,kMeJS7ym,151354,8614,109623
C53,"Italian Game: Scotch Gambit, Walbrodt-Baird Gambit",1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. O-O,11,white,r1bqk2r/pppp1ppp/2n2n2/2b5/2BpP3/2P2N2/PP3PPP/RNBQ1RK1 b kq - 1 6,Z3QydvZL,s4OTPjs1,143986,11396,111187
C57,"Italian Game: Two Knights Defense, Ponziani-Steinitz Gambit",1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 Nxe4,8,black,r1bqkb1r/pppp1ppp/2n5/4p1N1/2B1n3/8/PPPP1PPP/RNBQK2R w KQkq - 0 5,,r6aQGxBR,115480,8846,140722
D43,Semi-Slav Defense: Anti-Moscow Gambit,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6 5. Bg5 h6 6. Bh4,11,white,rnbqkb1r/pp3pp1/2p1pn1p/3p4/2PP3B/2N2N2/PP2PPPP/R2QKB1R b KQkq - 1 6,o9NGQ8O5,,130892,12952,120760
C27,Bishop's Opening: Boden-Kieseritzky Gambit,1. e4 e5 2. Nf3 Nf6 3. Bc4 Nxe4 4. Nc3,7,white,rnbqkb1r/pppp1ppp/8/4p3/2B1n3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 4,2iPDEK8B,,141037,12539,108458
C27,Bishop's Opening: Boden-Kieseritzky Gambit,1. e4 e5 2. Bc4 Nf6 3. Nf3 Nxe4 4. Nc3,7,white,rnbqkb1r/pppp1ppp/8/4p3/2B1n3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 4,2iPDEK8B,,141037,12539,108458
D10,Slav Defense: Winawer Countergambit,1. d4 d5 2. c4 c6 3. Nc3 e5,6,black,rnbqkbnr/pp3ppp/2p5/3pp3/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,kpUOvwso,oSjUnB9j,119643,11531,129923
C47,"Four Knights Game: Scotch Variation, Belgrade Gambit",1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. d4 exd4 5. Nd5,9,white,r1bqkb1r/pppp1ppp/2n2n2/3N4/3pP3/5N2/PPP2PPP/R1BQKB1R b KQkq - 1 5,Jx8U0FlD,X9lCcXP3,140863,14174,104242
B00,Van Geet Opening: Berlin Gambit,1. e4 Nc6 2. d4 d5 3. Nc3 dxe4 4. d5,7,white,r1bqkbnr/ppp1pppp/2n5/3P4/4p3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4,Z0LQ8NsA,vpgUgU1t,134412,10948,105412
C30,King's Gambit Declined: Panteldakis Countergambit,1. e4 e5 2. f4 f5,4,black,rnbqkbnr/pppp2pp/8/4pp2/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,x73pBtdB,MNiJh0Mu,122332,6959,113329
D00,"Queen's Pawn Game: Chigorin Variation, Shaviliuk Gambit",1. d4 d5 2. Nc3 e5,4,black,rnbqkbnr/ppp2ppp/8/3pp3/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 0 3,,8LUNEbGT,114325,9294,113952
A10,"English Opening: Anglo-Scandinavian Defense, Löhn Gambit",1. c4 d5 2. cxd5 e6,4,black,rnbqkbnr/ppp2ppp/4p3/3P4/8/8/PP1PPPPP/RNBQKBNR w KQkq - 0 3,,pdSTKqPK,123892,8793,97620
C38,King's Gambit Accepted: Hanstein Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 Bg7 5. O-O,9,white,rnbqk1nr/pppp1pbp/8/6p1/2B1Pp2/5N2/PPPP2PP/RNBQ1RK1 b kq - 3 5,6kOrrXa4,,95050,7820,126731
C69,"Ruy Lopez: Exchange Variation, Alapin Gambit",1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. O-O Bg4 6. h3 h5,12,black,r2qkbnr/1pp2pp1/p1p5/4p2p/4P1b1/5N1P/PPPP1PP1/RNBQ1RK1 w kq - 0 7,DuSxya9e,,109701,14026,105509
D83,"Grünfeld Defense: Brinckmann Attack, Grünfeld Gambit",1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bf4 Bg7 5. e3 O-O,10,black,rnbq1rk1/ppp1ppbp/5np1/3p4/2PP1B2/2N1P3/PP3PPP/R2QKBNR w KQ - 1 6,ceRocrTn,SGJs2P61,106874,14308,107011
C40,Elephant Gambit: Maróczy Gambit,1. e4 e5 2. Nf3 d5 3. exd5 Bd6,6,black,rnbqk1nr/ppp2ppp/3b4/3Pp3/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 1 4,,tLeh6s0j,103388,7746,114283
B02,"Alekhine Defense: Hunt Variation, Lasker Simul Gambit",1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3,11,white,rnbqkb1r/pppp1ppp/4p3/2PnP3/2B5/2N5/PP1P1PPP/R1BQK1NR b KQkq - 1 6,pmZKNznP,8fwtvodK,117093,9427,93364
C13,"French Defense: Alekhine-Chatard Attack, Albin-Chatard Gambit",1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Be7 5. e5 Nfd7 6. h4 Bxg5 7. hxg5,13,white,rnbqk2r/pppn1ppp/4p3/3pP1P1/3P4/2N5/PPP2PP1/R2QKBNR b KQkq - 0 7,xbT1NZw6,,123851,7789,82510
C31,"King's Gambit Declined: Falkbeer Countergambit, Nimzowitsch-Marshall Countergambit",1. e4 e5 2. f4 d5 3. exd5 c6,6,black,rnbqkbnr/pp3ppp/2p5/3Pp3/5P2/8/PPPP2PP/RNBQKBNR w KQkq - 0 4,Zgv8bqAu,8c3AHSsw,81542,7551,124168
C37,King's Gambit Accepted: Salvio Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 g4 5. Ne5,9,white,rnbqkbnr/pppp1p1p/8/4N3/2B1Ppp1/8/PPPP2PP/RNBQK2R b KQkq - 1 5,6eL3lHKA,eDWWaOfQ,85002,5347,116997
B54,"Sicilian Defense: Modern Variations, Ginsberg Gambit",1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Bc4,9,white,rnbqkb1r/pp2pppp/3p1n2/8/2BNP3/8/PPP2PPP/RNBQK2R b KQkq - 2 5,kDG1onvC,ivAehSgr,93869,8289,104662
C23,Bishop's Opening: Lewis Gambit,1. e4 e5 2. Bc4 Bc5 3. d4,5,white,rnbqk1nr/pppp1ppp/8/2b1p3/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq - 0 3,,,113636,7484,79160
C39,King's Gambit Accepted: Allgaier Gambit,1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4 g4 5. Ng5,9,white,rnbqkbnr/pppp1p1p/8/6N1/4PppP/8/PPPP2P1/RNBQKB1R b KQkq - 1 5,eQx8kiT3,y7XsIjlK,104747,5566,85688
D06,"Queen's Gambit Declined: Austrian Attack, Salvio Countergambit",1. d4 d5 2. c4 c5 3. dxc5 d4,6,black,rnbqkbnr/pp2pppp/8/2P5/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,MeotZ0zy,5yEWPBhB,91827,8357,95447
A45,Indian Defense: Gibbins-Weidenhagen Gambit,1. d4 Nf6 2. g4,3,white,rnbqkb1r/pppppppp/5n2/8/3P2P1/8/PPP1PP1P/RNBQKBNR b KQkq - 0 2,RNR0bpVa,qzwANDpn,97185,6833,88289
B21,Sicilian Defense: Halasz Gambit,1. e4 c5 2. d4 cxd4 3. f4,5,white,rnbqkbnr/pp1ppppp/8/8/3pPP2/8/PPP3PP/RNBQKBNR b KQkq - 0 3,,,92445,5677,93250
B10,"Caro-Kann Defense: Hillbilly Attack, Schaeffer Gambit",1. e4 c6 2. Bc4 d5 3. Bb3 dxe4 4. Qh5,7,white,rnbqkbnr/pp2pppp/2p5/7Q/4p3/1B6/PPPP1PPP/RNB1K1NR b KQkq - 1 4,KFHHwUaP,Ds4VhAtr,104730,7675,76819
C02,"French Defense: Advance Variation, Nimzowitsch Gambit",1. e4 e6 2. d4 d5 3. e5 c5 4. Qg4 cxd4 5. Nf3,9,white,rnbqkbnr/pp3ppp/4p3/3pP3/3p2Q1/5N2/PPP2PPP/RNB1KB1R b KQkq - 1 5,3NWjo4wd,oczw9Cos,104002,7415,77790
A09,Réti Opening: Reversed Blumenfeld Gambit,1. Nf3 d5 2. c4 d4 3. e3 c5 4. b4,7,white,rnbqkbnr/pp2pppp/8/2p5/1PPp4/4PN2/P2P1PPP/RNBQKB1R b KQkq - 0 4,bakL4Djg,364jFPyE,102397,7010,79461
C33,King's Gambit Accepted: Polerio Gambit,1. e4 e5 2. f4 exf4 3. d4,5,white,rnbqkbnr/pppp1ppp/8/8/3PPp2/8/PPP3PP/RNBQKBNR b KQkq - 0 3,rYERb5yb,8hTAdjXj,88459,6307,92447
D15,Slav Defense: Geller Gambit,1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 dxc4 5. e4 b5 6. e5,11,white,rnbqkb1r/p3pppp/2p2n2/1p2P3/2pP4/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 6,X5qCw2pl,apMtcQpA,90505,7863,88039
C44,Ponziani Opening: Ponziani Countergambit,1. e4 e5 2. Nf3 Nc6 3. c3 f5,6,black,r1bqkbnr/pppp2pp/2n5/4pp2/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq - 0 4,aA2Yozp9,TWrXdm5I,76052,6425,94447
C00,French Defense: Carlson Gambit,1. e4 e6 2. d4 d5 3. Nf3 dxe4 4. Ne5,7,white,rnbqkbnr/ppp2ppp/4p3/4N3/3Pp3/8/PPP2PPP/RNBQKB1R b KQkq - 1 4,,hEM7jyuh,78047,7122,90879
B00,"Nimzowitsch Defense: Scandinavian Variation, Exchange Variation, Marshall Gambit",1. e4 Nc6 2. d4 d5 3. exd5 Qxd5 4. Nc3,7,white,r1b1kbnr/ppp1pppp/2n5/3q4/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 4,,XCFTC7D0,75275,9128,90011
C50,"Italian Game: Giuoco Pianissimo, Lucchini Gambit",1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3 f5,8,black,r1bqk1nr/pppp2pp/2n5/2b1pp2/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,,yyroOWXJ,83603,5720,79188
D00,Blackmar-Diemer Gambit: Reversed Albin Countergambit,1. d4 d5 2. e4 dxe4 3. Nc3 c5,6,black,rnbqkbnr/pp2pppp/8/2p5/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,euEzyDHP,,81611,7805,78207
A59,Benko Gambit,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. e4 Bxf1 8. Kxf1 d6 9. g3,17,white,rn1qkb1r/4pp1p/3p1np1/2pP4/4P3/2N3P1/PP3P1P/R1BQ1KNR b kq - 0 9,4RCnSenY,ckeGDJ0I,75545,11898,79309
C50,Italian Game: Jerome Gambit,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. Bxf7+,7,white,r1bqk1nr/pppp1Bpp/2n5/2b1p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 0 4,cT38OW6n,SmwjYnNC,78744,5958,79003
A45,Indian Defense: Maddigan Gambit,1. d4 Nf6 2. Nc3 e5,4,black,rnbqkb1r/pppp1ppp/5n2/4p3/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 0 3,,1GNP9ag0,84964,6033,70360
D07,"Queen's Gambit Declined: Chigorin Defense, Lazard Gambit",1. d4 d5 2. c4 Nc6 3. Nf3 e5,6,black,r1bqkbnr/ppp2ppp/2n5/3pp3/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,RoaVbA7s,VST4TDy9,80893,8330,69641
C35,"King's Gambit Accepted: Cunningham Defense, Bertin Gambit",1. e4 e5 2. f4 exf4 3. Nf3 Be7 4. Bc4 Bh4+ 5. g3 fxg3 6. O-O gxh2+ 7. Kh1,13,white,rnbqk1nr/pppp1ppp/8/8/2B1P2b/5N2/PPPP3p/RNBQ1R1K b kq - 1 7,,zfZ8yY9N,91953,5101,61388
D07,"Queen's Gambit Declined: Chigorin Defense, Tartakower Gambit",1. d4 d5 2. c4 Nc6 3. Nc3 e5,6,black,r1bqkbnr/ppp2ppp/2n5/3pp3/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,eR0ZRXoW,qzdcESeQ,78235,7028,72952
B03,Alekhine Defense: O'Sullivan Gambit,1. e4 Nf6 2. e5 Nd5 3. d4 b5,6,black,rnbqkb1r/p1pppppp/8/1p1nP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,,fY4w2QUd,68380,5273,82383
C25,Vienna Game: Fyfe Gambit,1. e4 e5 2. Nc3 Nc6 3. d4,5,white,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,,,75321,5714,73232
A80,Dutch Defense: Krejcik Gambit,1. d4 f5 2. g4,3,white,rnbqkbnr/ppppp1pp/8/5p2/3P2P1/8/PPP1PP1P/RNBQKBNR b KQkq - 0 2,QLmYDg9J,oQu3z5VH,78975,6287,66890
C31,"King's Gambit Declined: Falkbeer Countergambit, Hinrichsen Gambit",1. e4 e5 2. f4 d5 3. d4,5,white,rnbqkbnr/ppp2ppp/8/3pp3/3PPP2/8/PPP3PP/RNBQKBNR b KQkq - 0 3,,bi0JUVf9,73743,5654,72127
A82,Dutch Defense: Blackmar's Second Gambit,1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. f3,7,white,rnbqkb1r/ppppp1pp/5n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR b KQkq - 0 4,ce3BWEva,XVydCwf7,81610,6137,62702
D00,Blackmar-Diemer Gambit: Rasa-Studier Gambit,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Be3,7,white,rnbqkb1r/ppp1pppp/5n2/8/3Pp3/2N1B3/PPP2PPP/R2QKBNR b KQkq - 3 4,,wfpGmqE5,72545,5710,71322
C44,Scotch Game: Relfsson Gambit,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bb5,7,white,r1bqkbnr/pppp1ppp/2n5/1B6/3pP3/5N2/PPP2PPP/RNBQK2R b KQkq - 1 4,wLRAstGb,0hbZPOOI,74787,6288,67138
E10,Blumenfeld Countergambit,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 b5,8,black,rnbqkb1r/p2p1ppp/4pn2/1ppP4/2P5/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 5,N0bBAeF8,p4XHpDUl,71508,6975,68856
B00,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Nimzowitsch Gambit",1. e4 Nc6 2. d4 d5 3. Nc3 dxe4 4. d5 Ne5,8,black,r1bqkbnr/ppp1pppp/8/3Pn3/4p3/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 5,4S1oGhMR,TwiZoXc4,77023,6324,63965
A03,Bird Opening: Sturm Gambit,1. f4 d5 2. c4,3,white,rnbqkbnr/ppp1pppp/8/3p4/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq - 0 2,2wuY5Puo,,73582,5062,67247
B02,"Alekhine Defense: Krejcik Variation, Krejcik Gambit",1. e4 Nf6 2. Bc4 Nxe4 3. Bxf7+,5,white,rnbqkb1r/pppppBpp/8/8/4n3/8/PPPP1PPP/RNBQK1NR b KQkq - 0 3,uMYYDVy6,qjuQE7Pd,64794,5614,67698
