action,eco,name,pgn,new_pgn,comment,master,lichess,white,draws,black
add,A50,A50 Indian Defense: Budapest Gambit,1. d4 Nf6 2. c4 e5,,,zLxWOn3b,,3671484,382905,3569786
add,A50,"A50 Indian Defense: Normal Variation, Wagon Gambit",1. d4 Nf6 2. c4 a6 3. Nc3 b5,,,,HHufT0iy,20334,1785,18595
add,A51,"A51 Indian Defense: Budapest Defense, Fajarowicz Gambit",1. d4 Nf6 2. c4 e5 3. dxe5 Ne4,,,7DxBFUgU,YA6tH284,277217,35164,278458
add,A83,"Dutch Defense: Staunton Gambit, Lasker Variation",1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5,,,tTZr7mSm,cDScoYJ5,244621,25816,187801
add,B00,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Brandics Gambit",1. e4 Nc6 2. d4 d5 3. Nc3 a6,,,QEzggcYk,,1220,92,961
add,B00,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Erben Gambit",1. e4 Nc6 2. d4 d5 3. Nc3 g6,,,,M2VJaITS,659,48,535
add,B00,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Heinola-Deppe Gambit",1. e4 Nc6 2. d4 d5 3. Nc3 e5,,,ZdJ1ue5I,x5nPlmu9,15786,1504,14947
add,B00,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Nimzowitsch Gambit",1. e4 Nc6 2. d4 d5 3. Nc3 dxe4 4. d5 Ne5,,,4S1oGhMR,TwiZoXc4,77023,6324,63965
add,B00,"Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Richter Gambit",1. e4 Nc6 2. d4 d5 3. Nc3 dxe4 4. d5 Nb8 5. f3,,,,VTfGurnq,3687,276,2748
add,B21,Sicilian Defense: Smith-Morra Gambit,1. e4 c5 2. d4 cxd4 3. c3,,,bQDZlxgx,l6i8tX0p,7725846,679659,7076805
add,C10,Sicilian Defense: Marshall Gambit,1. e4 c5 2. Nc3 e6 3. d4 d5,,,NWPmnYY9,,771555,61579,608219
add,C15,"French Defense: MacCutcheon Variation, Wolf Gambit",1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. Ne2 Nf6 5. Bg5,,,A5se2clq,DpROl30a,22527,3019,19527
add,C15,"French Defense: Winawer Variation, Winckelmann-Riemer Gambit",1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. a3,,,WXWnzMeh,wdMb07aT,163488,15174,142272
